city	count	latitude	longitude
Loveland, CO	29	40.3927498	-105.0739212
Henderson, NV	29	36.0308189	-114.9810867
Palm Springs, CA	29	33.8232117	-116.5121078
Gainesville, FL	29	29.6519508	-82.3231812
Kennewick, WA	29	46.2080383	-119.1169815
Flagstaff, AZ	29	35.1982002	-111.6512985
Terre Haute, IN	29	39.4664917	-87.4132309
Des Moines, IA	29	41.5897598	-93.6156464
Escondido, CA	29	33.1231613	-117.0821686
Whittier, CA	28	33.9754219	-118.0344162
Surprise, AZ	28	33.6386108	-112.3269424
Corona, CA	28	33.8778915	-117.5750427
Van Nuys, CA	28	34.1978111	-118.4653854
West Palm Beach, FL	27	26.7143898	-80.0531921
Las Cruces, NM	27	32.3069	-106.7778473
Naples, FL	27	26.1390896	-81.7957916
Edmonds, WA	27	47.811161	-122.3768921
Orland Park, IL	27	41.6172791	-87.8534698
Port Angeles, WA	27	48.118721	-123.4312973
Detroit, MI	26	42.3316803	-83.0479202
Flint, MI	26	43.0114403	-83.6867905
Huntsville, AL	26	34.7291298	-86.5849762
New York City (Bronx), NY	26	40.7820015	-73.8327026
Napa, CA	26	38.2988586	-122.2852173
Lynnwood, WA	26	47.8253212	-122.2924423
Wenatchee, WA	25	47.414711	-120.3051071
Carlsbad, CA	25	33.1658783	-117.3382187
Antioch, CA	25	38.0158195	-121.8197021
Santa Ana, CA	25	33.7495804	-117.8742981
Daytona Beach, FL	25	29.2035694	-81.0393982
Savannah, GA	25	32.0809097	-81.0911865
Kokomo, IN	25	40.4865112	-86.1262436
Lexington, KY	25	38.0485916	-84.5003204
New Orleans, LA	25	29.9536991	-90.0777512
Lancaster, CA	25	34.6988983	-118.144783
St. Paul, MN	25	44.943821	-93.0933228
Asheville, NC	25	35.5984612	-82.5531387
Medford, OR	24	42.3235588	-122.8756104
Federal Way, WA	24	47.3011284	-122.3298492
Fort Smith, AR	24	35.3846016	-94.4213028
Prescott, AZ	24	34.54142	-112.4687271
Greensboro, NC	24	36.0689888	-79.7947006
Santa Clara, CA	24	37.3557396	-121.9549866
Fairbanks, AK	24	64.8450775	-147.7220612
Roseville, CA	24	38.7489319	-121.2840805
Palmdale, CA	24	34.5792313	-118.1165695
Redmond, WA	24	47.6785812	-122.1315765
Pasadena, CA	23	34.1474495	-118.1442719
Overland Park, KS	23	38.98489	-94.6716766
Marysville, WA	23	48.0611	-122.1769028
Cedar Rapids, IA	23	41.9763412	-91.6737595
York, PA	23	39.9645309	-76.7242889
Ocala, FL	23	29.1875191	-82.1403885
Snohomish, WA	23	47.9123993	-122.0930634
Evansville, IN	23	37.9770813	-87.5640488
Arlington, WA	23	48.1942902	-122.1264114
Plano, TX	23	33.0207901	-96.6992493
Green Bay, WI	23	44.5127907	-88.0101624
Chattanooga, TN	23	35.0464401	-85.3094635
Puyallup, WA	22	47.1904411	-122.295723
Temecula, CA	22	33.5024796	-117.1669312
Port St. Lucie, FL	22	27.2741795	-80.3633118
New York City (Staten Island), NY	22	40.7820015	-73.8327026
Sonora, CA	22	37.9832916	-120.3821869
Lawrence, KS	22	38.9730606	-95.2365265
New York City (Queens), NY	22	40.7820015	-73.8327026
Bradenton, FL	22	27.4955006	-82.5780716
Alexandria, VA	22	38.8045998	-77.0434113
Fremont, CA	21	37.5509109	-121.9821701
Maricopa, AZ	21	33.0584717	-112.0480118
Pueblo, CO	21	38.2638588	-104.6123734
Cheyenne, WY	21	41.1348114	-104.8215408
Lake Worth, FL	21	26.6162605	-80.0572433
Topeka, KS	21	39.0492783	-95.6711807
North Hollywood, CA	21	34.1942291	-118.391571
Lakewood, CO	21	39.7109184	-105.0820694
Bowling Green, KY	21	36.9946213	-86.4455795
Rancho Cucamonga, CA	21	34.1026115	-117.5738373
Corvallis, OR	21	44.5650406	-123.2635269
Missoula, MT	20	46.8727798	-113.9962311
Casa Grande, AZ	20	32.8795395	-111.7503204
Oxnard, CA	20	34.2003403	-119.1801224
Harrisburg, PA	20	40.2599297	-76.8823395
South Bend, IN	20	41.6790504	-86.2540436
Murfreesboro, TN	20	35.8443985	-86.3943405
Albany, NY	20	42.6515503	-73.7552109
Concord, CA	20	37.9816513	-122.0258331
Duluth, MN	20	46.7879601	-92.0998535
Orange, CA	20	33.7878609	-117.8504028
Boca Raton, FL	20	26.3504906	-80.0889969
Erie, PA	20	42.1294403	-80.0852432
Berkeley, CA	20	37.8698807	-122.2705383
Kansas City, KS	20	39.1135216	-94.6268234
Prescott Valley, AZ	20	34.5859985	-112.3229065
Syracuse, NY	20	43.0499916	-76.1473923
Allentown, PA	20	40.6026001	-75.4702606
Denton, TX	20	33.2165604	-97.1309814
Monroe, WA	19	47.8523903	-121.9815369
Round Rock, TX	19	30.5090408	-97.6772232
Gresham, OR	19	45.506279	-122.4353409
Sunnyvale, CA	19	37.3717117	-122.038002
Fairfield, CA	19	38.2492294	-122.0438766
Petaluma, CA	19	38.2324715	-122.6444397
Hollywood, CA	19	34.108078	-118.3467026
Ogden, UT	19	41.2223587	-111.9704819
Westminster, CO	19	39.8634682	-105.0488663
Woodland, CA	19	38.6784286	-121.7731171
Dayton, OH	19	39.7591095	-84.1944427
Grants Pass, OR	19	42.4432106	-123.3246384
Kissimmee, FL	19	28.2944298	-81.4067383
Hesperia, CA	19	34.4241409	-117.3192062
Stockton, CA	19	37.9536705	-121.2907486
North Myrtle Beach, SC	19	33.8276596	-78.6848984
Abilene, TX	19	32.4491692	-99.7414169
Olathe, KS	19	38.8835297	-94.8188705
St. Augustine, FL	19	29.8920994	-81.31427
Reading, PA	19	40.3366203	-75.9278412
Lafayette, IN	19	40.4173698	-86.8765488
West Chester, PA	19	39.9635086	-75.5984802
La Mesa, CA	19	32.7660217	-117.0235519
Charleston, SC	19	32.7811508	-79.9316025
Fayetteville, NC	19	35.0544891	-78.8775787
Roswell, NM	19	33.3948212	-104.5227509
Fort Myers, FL	18	26.6408405	-81.8680801
Visalia, CA	18	36.3337708	-119.2929077
Peoria, AZ	18	33.5773087	-112.2408981
Norwalk, CA	18	33.9167404	-118.0725174
Bristol, TN	18	36.5919304	-82.2212677
Springfield, OR	18	44.0473099	-123.0195389
Ridgecrest, CA	18	35.6224785	-117.6688614
Davie, FL	18	26.06567	-80.2349472
Pembroke Pines, FL	18	26.00811	-80.2801132
Naperville, IL	18	41.7708282	-88.1530228
Englewood, CO	18	39.6546211	-104.9935608
Lansing, MI	18	42.7319412	-84.5522537
Clovis, CA	18	36.8239403	-119.696579
Akron, OH	18	41.0841904	-81.514061
Woodinville, WA	18	47.7544785	-122.1556931
St. Charles, MO	17	38.7829514	-90.4818268
Canton, OH	17	40.7978096	-81.3715668
Costa Mesa, CA	17	33.6638794	-117.9029999
Oak Forest, IL	17	41.6122284	-87.7563095
Panama City Beach, FL	17	30.1916409	-85.832489
Torrance, CA	17	33.8366585	-118.3416595
Gig Harbor, WA	17	47.3279991	-122.580368
Vista, CA	17	33.2020302	-117.233963
Eureka, CA	17	40.8032684	-124.1595306
Noblesville, IN	17	40.0451393	-86.0122299
Granite Falls, WA	17	48.0815811	-121.9692917
Fullerton, CA	17	33.8703194	-117.9291
Gila Bend, AZ	17	32.9472618	-112.7172165
Marietta, GA	17	33.9531898	-84.5458832
Hemet, CA	17	33.7493706	-116.9678879
Issaquah, WA	17	47.5301018	-122.0337982
Provo, UT	17	40.2336998	-111.6685028
Sandy, UT	17	40.5701294	-111.8954697
Rapid City, SD	17	44.0811615	-103.2308884
Salinas, CA	17	36.6708794	-121.6548233
Katy, TX	17	29.7877197	-95.8233337
Idaho Falls, ID	17	43.4920006	-112.0419922
Annapolis, MD	17	38.9766998	-76.4899292
Fontana, CA	17	34.1020508	-117.4357605
Worcester, MA	17	42.2634087	-71.8021927
Martinez, CA	17	38.0139084	-122.1349182
Lake Elsinore, CA	17	33.6675682	-117.327858
Garden Grove, CA	17	33.7760696	-117.9361572
Albany, OR	16	44.635479	-123.1077576
Redondo Beach, CA	16	33.8444519	-118.3879395
Amarillo, TX	16	35.2072487	-101.8338928
Orem, UT	16	40.2987595	-111.6957169
Blue Springs, MO	16	39.018261	-94.2748108
Davis, CA	16	38.5466919	-121.7445679
Lubbock, TX	16	33.5845108	-101.8450089
Kingman, AZ	16	35.1888199	-114.0554276
Bend, OR	16	44.0573883	-121.3158112
Coral Springs, FL	16	26.2724895	-80.2531509
Lancaster, PA	16	40.0380516	-76.3012695
Newport Beach, CA	16	33.6168289	-117.9303436
Laguna Niguel, CA	16	33.5594101	-117.7083664
Poughkeepsie, NY	16	41.7067108	-73.9293671
Greenville, SC	16	34.8482704	-82.4001083
Lake Charles, LA	16	30.2240295	-93.220108
Grand Junction, CO	16	39.0687904	-108.5644531
Livermore, CA	16	37.6754913	-121.7582169
Chillicothe, OH	16	39.33498	-82.9704132
Oceanside, CA	16	33.1971512	-117.3805771
Port Orchard, WA	16	47.5410309	-122.6384735
Valencia, CA	16	34.4435997	-118.6100006
Ann Arbor, MI	16	42.2821007	-83.7484665
Downers Grove, IL	16	41.7952995	-88.0063477
Bloomington, IN	16	39.1665916	-86.5342407
Hillsboro, OR	16	45.5227013	-122.9905624
Roanoke, VA	16	37.2715187	-79.9405289
Kalamazoo, MI	16	42.2915688	-85.5885086
Camarillo, CA	16	34.2228889	-119.0507202
Sterling Heights, MI	15	42.5932999	-83.0133667
Durham, NC	15	35.9952698	-78.8960114
Destin, FL	15	30.3929405	-86.4957733
Mountain View, CA	15	37.3896713	-122.0815964
San Rafael, CA	15	37.9745712	-122.5324707
State College, PA	15	40.7937317	-77.8607025
Mesquite, TX	15	32.78339	-96.6020813
Howell, MI	15	42.6054382	-83.9249115
Sioux Falls, SD	15	43.5453491	-96.7312775
Santa Maria, CA	15	34.9531288	-120.4346619
Great Falls, MT	15	47.5071411	-111.3060684
Rockville, MD	15	39.0816612	-77.1512375
New York City/Brooklyn, NY	15	42.9035988	-75.570137
Huntington, WV	15	38.4198189	-82.4453735
Arvada, CO	15	39.8020287	-105.0878372
New Port Richey, FL	15	28.2501907	-82.7161636
Mobile, AL	15	30.6863899	-88.0532379
Columbus, GA	15	32.4629211	-84.9875717
Fayetteville, AR	15	36.0632019	-94.1579132
Cape Coral, FL	15	26.6298199	-81.9569397
College Station, TX	15	30.6205406	-96.3258972
Columbia, SC	15	33.9988213	-81.045372
Victorville, CA	15	34.5106087	-117.3236389
Oak Lawn, IL	15	41.7203484	-87.7526932
Jackson, MI	15	42.2447586	-84.4005203
Clearwater, FL	15	27.96558	-82.7997513
San Marcos, TX	15	29.8860302	-97.9293365
Hot Springs, AR	14	34.5094414	-93.0522232
Wilmington, CA	14	33.7821045	-118.2555695
Ocean City, MD	14	38.3349991	-75.0843582
Mission Viejo, CA	14	33.6194	-117.6776276
Spring Valley, CA	14	32.7394905	-116.9951401
Murrieta, CA	14	33.5584297	-117.211792
Laconia, NH	14	43.5280685	-71.4689407
Boynton Beach, FL	14	26.5289097	-80.0626984
Palatine, IL	14	42.11306	-88.0376434
Wilmington, DE	14	39.7402306	-75.5508423
Norman, OK	14	35.2207603	-97.4466019
Pomona, CA	14	34.0548286	-117.7500305
Jacksonville, NC	14	34.7492905	-77.421051
Moses Lake, WA	14	47.1319313	-119.277153
Glendale, CA	14	34.1463318	-118.248642
Clarksville, TN	14	36.5307503	-87.3597717
Rochester Hills, MI	14	42.6648102	-83.1604919
Franklin, TN	14	35.9242516	-86.8709335
San Clemente, CA	14	33.4286194	-117.6073303
Gaithersburg, MD	14	39.1398582	-77.1938171
Lakeland, FL	14	28.0441895	-81.9478607
Palo Alto, CA	14	37.4446602	-122.1607895
Walnut Creek, CA	14	37.9011803	-122.0616226
Hollywood, FL	14	26.0104103	-80.16008
New York City/Staten Island, NY	14	42.9035988	-75.570137
Monterey, CA	14	36.5975914	-121.8967667
Odessa, TX	14	31.8492603	-102.3749313
Lawrenceville, GA	14	33.9525795	-83.987999
Jackson, MS	14	32.2986908	-90.1804886
Campbell, CA	14	37.2884789	-121.9448624
Covina, CA	14	34.0874214	-117.8890228
New Rochelle, NY	14	40.9197006	-73.7867966
Edmond, OK	13	35.6548996	-97.4781265
Laramie, WY	13	41.3107986	-105.5903168
Peru, IN	13	40.7524414	-86.0680771
Dover, DE	13	39.1580315	-75.5247269
Holland, MI	13	42.7730904	-86.1017609
Alpharetta, GA	13	34.0753708	-84.294548
Galveston, TX	13	29.2953205	-94.8079071
Providence, RI	13	41.8238716	-71.4119873
Downey, CA	13	33.9404106	-118.1279373
Chesapeake, VA	13	36.7142906	-76.2478409
Palm Desert, CA	13	33.7289085	-116.3803177
Citrus Heights, CA	13	38.6986313	-121.2717133
Key West, FL	13	24.5544395	-81.8003693
Garland, TX	13	32.9142685	-96.6365509
Grass Valley, CA	13	39.2192612	-121.0615005
Lehigh Acres, FL	13	26.6064491	-81.6450729
Ithaca, NY	13	42.4405098	-76.4954605
Castro Valley, CA	13	37.6944885	-122.0858917
Rohnert Park, CA	13	38.3424187	-122.7101669
Tupelo, MS	13	34.2574081	-88.7078323
Springfield, MA	13	42.1012497	-72.5892868
St. George, UT	13	37.1090698	-113.5832977
Graham, WA	13	47.0557594	-122.2947693
Rome, GA	13	34.2448883	-85.1667862
Deltona, FL	13	28.9322109	-81.2233505
Kenosha, WI	13	42.5880699	-87.8236465
Trout Lake, WA	13	45.9958916	-121.5252686
Lombard, IL	13	41.8675613	-88.0110779
Meriden, CT	13	41.5362816	-72.7978363
Palm Coast, FL	13	29.593544	-81.1937408
Jackson, NJ	13	40.1118317	-74.3448181
Norfolk, VA	13	36.8468208	-76.2850571
Lewisville, TX	13	33.0472183	-96.9959335
Mansfield, OH	13	40.7585106	-82.514801
Springfield, IL	13	39.8010483	-89.6436005
Fargo, ND	13	46.8759117	-96.7817612
Utica, NY	13	43.09589	-75.2425766
Rolla, MO	13	37.9514389	-91.7674408
Independence, MO	13	39.0932388	-94.4156265
West Chester, OH	13	39.3297501	-84.4090729
Montgomery, AL	13	32.3801193	-86.3006287
O&apos;Fallon, MO	13	38.3679657	-92.4778824
Claremont, CA	13	34.0960999	-117.7164001
Butte, MT	13	46.0017509	-112.5208893
Santa Clarita, CA	13	34.4134712	-118.5518799
Barstow, CA	13	34.8929596	-117.0258179
Meridian, ID	13	43.6110001	-116.3922272
Lake Wales, FL	13	27.9012299	-81.5941772
Newark, DE	13	39.678009	-75.7618103
Poway, CA	13	32.9545898	-117.0419769
Centralia, WA	13	46.7289391	-122.95298
Punta Gorda, FL	13	26.9329491	-82.052887
Waterford, MI	13	42.6698418	-83.389328
Galesburg, IL	13	40.9469109	-90.3646622
Portland, ME	13	43.6591415	-70.2566528
Iowa City, IA	13	41.6578217	-91.5265274
Silver City, NM	13	32.7699699	-108.2750015
Williamsport, PA	13	41.2409401	-77.0014114
Morgantown, WV	13	39.6303711	-79.9578476
Waterbury, CT	12	41.5540695	-73.0461731
Sandpoint, ID	12	48.2729492	-116.5478134
Augusta, GA	12	33.4790916	-81.9753113
Lee&apos;s Summit, MO	12	38.3679657	-92.4778824
Woodbridge, VA	12	38.6605911	-77.2478714
Killeen, TX	12	31.1168308	-97.7271118
Cranston, RI	12	41.7788391	-71.4352188
Kalispell, MT	12	48.2016296	-114.3149033
Surfside Beach, SC	12	33.6195602	-78.9737396
Dana Point, CA	12	33.4799805	-117.6976395
Arlington, VA	12	38.8905106	-77.0862885
Fortuna, CA	12	40.5975609	-124.1555405
Stanwood, WA	12	48.2416	-122.3723831
Panama City, FL	12	30.1598701	-85.6603317
Johnstown, PA	12	40.3272591	-78.9183502
Pahrump, NV	12	36.2135696	-115.9914093
Sherman Oaks, CA	12	34.1503868	-118.4418106
Canton, MI	12	42.2995987	-83.4868011
Hamilton, OH	12	39.1954689	-84.5426407
Warwick, RI	12	41.6985893	-71.4616776
Buckeye, AZ	12	33.3704605	-112.5901031
Toms River, NJ	12	39.9533005	-74.1974792
Novato, CA	12	38.1060715	-122.5678864
Laguna Hills, CA	12	33.6017494	-117.6903381
Spring, TX	12	30.0845299	-95.4192886
Miami Beach, FL	12	25.7933502	-80.1349106
Jersey City, NJ	12	40.7174683	-74.0438385
Madison, AL	12	34.7058792	-86.7509537
Homestead, FL	12	25.4762306	-80.4656525
Cary, NC	12	35.7893295	-78.7811737
Newburgh, NY	12	41.499939	-74.010231
Golden, CO	12	39.756649	-105.2249527
Wallingford, CT	12	41.4536209	-72.8187027
Quincy, CA	12	39.9367294	-120.9481125
Goodyear, AZ	12	33.4362984	-112.3582993
Aloha, OR	12	45.4940681	-122.8672791
Ontario, CA	12	34.0645714	-117.6481018
Binghamton, NY	12	42.09869	-75.9113617
Manassas, VA	12	38.7512207	-77.4711075
Lakewood, CA	12	33.850029	-118.1337738
Summerville, SC	12	33.0189705	-80.1760101
North Pole, AK	12	64.7487793	-147.3525543
Martinsburg, WV	12	39.4563713	-77.9645615
Wichita Falls, TX	12	33.9082985	-98.5009918
Sedro Woolley, WA	12	48.5087318	-122.2385712
Lodi, CA	12	38.1301918	-121.2754669
Richardson, TX	12	32.9607391	-96.7329712
Wheeling, WV	12	40.0639801	-80.7214127
Sonoma, CA	12	38.2918816	-122.4572525
Bouse, AZ	12	33.9318504	-114.0054169
Azle, TX	12	32.8833885	-97.5370331
Bloomington, IL	12	40.4850082	-88.9977112
Fairborn, OH	12	39.8271484	-84.0221329
Shoreline, WA	12	47.7572403	-122.3447037
Lawton, OK	12	34.6051788	-98.3899231
Montebello, CA	12	34.0195808	-118.1164627
Ellensburg, WA	12	46.9970284	-120.5487213
Englewood, FL	12	26.9463291	-82.3528366
Racine, WI	12	42.7252083	-87.7904129
Vallejo, CA	12	38.1008301	-122.2549515
Lake Stevens, WA	11	48.014389	-122.0641479
Oshkosh, WI	11	44.02491	-88.5444336
San Marcos, CA	11	33.1408615	-117.1588211
Bristol, CT	11	41.6744919	-72.9461899
Youngstown, OH	11	41.0980988	-80.6507874
Manteca, CA	11	37.7991982	-121.2331238
Tracy, CA	11	37.7397003	-121.4264069
Joliet, IL	11	41.524929	-88.0845871
Carrollton, TX	11	32.9755516	-96.8902283
Ames, IA	11	42.025341	-93.6202011
Bozeman, MT	11	45.6793213	-111.0331802
San Pedro, CA	11	33.7414703	-118.2982864
Woburn, MA	11	42.4792213	-71.1506119
Sebastopol, CA	11	38.401741	-122.8252487
Waldorf, MD	11	38.6229095	-76.9100723
Havre, MT	11	48.5528603	-109.6709671
Kingsport, TN	11	36.5477982	-82.5604172
Chula Vista, CA	11	32.6408997	-117.0842819
Maple Valley, WA	11	47.3938217	-122.045311
Pottstown, PA	11	40.2464485	-75.6480484
Woodland Hills, CA	11	34.1661758	-118.6048813
Springfield, OH	11	39.9250183	-83.8067322
Nashua, NH	11	42.7583618	-71.4642105
Brandon, FL	11	27.9401703	-82.32547
Porterville, CA	11	36.070961	-119.0161896
Wheaton, IL	11	41.8660583	-88.1106262
Traverse City, MI	11	44.7599907	-85.6158371
Mishawaka, IN	11	41.6601715	-86.1725769
Pittsburg, CA	11	38.0194588	-121.8885117
Minot, ND	11	48.2361107	-101.2960663
Gilroy, CA	11	37.0043793	-121.5716705
Thornton, CO	11	39.8692017	-104.9848175
South Kingstown, RI	11	41.4422112	-71.5022964
Ukiah, CA	11	39.1509285	-123.207901
Pismo Beach, CA	11	35.1568108	-120.6680984
San Leandro, CA	11	37.72826	-122.1585083
Delray Beach, FL	11	26.4643593	-80.0741806
Butler, MO	11	38.2573891	-94.3432922
Richland, WA	11	46.2739105	-119.2737198
Casper, WY	11	42.8500786	-106.3277893
Jupiter, FL	11	26.9327602	-80.1018906
Apache Junction, AZ	11	33.4231796	-111.5460892
Shelton, WA	11	47.2124596	-123.1056519
Elgin, IL	11	42.0395584	-88.2832413
Morganton, NC	11	35.7467995	-81.6858597
Ashland, KY	11	38.4806786	-82.6435776
Tustin, CA	11	33.7433205	-117.8188171
Gulf Breeze, FL	11	30.3560295	-87.1684494
Frankfort, IL	11	41.4975586	-87.8616867
Sioux City, IA	11	42.4998093	-96.4209366
Ottumwa, IA	11	41.0201187	-92.415741
West Bend, WI	11	43.4087715	-88.1811295
Tuscaloosa, AL	11	33.2104912	-87.5659332
Hampton, VA	11	37.0277901	-76.3451233
Howell, NJ	11	40.1693802	-74.1814804
Jackson, TN	11	35.6138992	-88.819397
Fairfax, VA	11	38.8417892	-77.3088684
Williamsburg, VA	11	37.2756004	-76.7097168
Klamath Falls, OR	11	42.2238808	-121.7820587
Walla Walla, WA	11	46.0703812	-118.3423767
Saginaw, MI	11	43.4191818	-83.9466705
Laughlin, NV	11	35.1674881	-114.5726395
Lake Forest, CA	11	33.6276398	-117.7170715
Vero Beach, FL	11	27.6388493	-80.3942184
Placerville, CA	11	38.7278099	-120.8035812
Milford, CT	11	41.2255096	-73.0570679
Midland, TX	11	32.0005913	-102.0744476
Orchard Park, NY	11	42.7671814	-78.7438812
Chatsworth, CA	11	34.2570801	-118.5977173
Peoria, IL	11	40.6921387	-89.5877609
Danville, VA	10	36.5859795	-79.4171982
Conway, AR	10	35.0908089	-92.4402313
Lynchburg, VA	10	37.4140205	-79.1428375
Yucaipa, CA	10	34.0339508	-117.058403
Baytown, TX	10	29.7283993	-94.9969482
Queen Creek, AZ	10	33.2446709	-111.6345215
Sumner, WA	10	47.2022018	-122.2399979
Hollister, CA	10	36.8525314	-121.4032593
Lincoln City, OR	10	44.9298706	-124.0173187
Fenton, MI	10	42.7936897	-83.7052612
Portsmouth, VA	10	36.8326416	-76.2977066
